OID_,Shape_Length,Shape_Area,Minority_use,Majority_use,N,BD,PR,BH,BF,BA,BFA,RS,BO,BP,BV,std_BH,std_BF,std_BA,std_BFA,std_RS,std_BO,std_BP,std_BV,SP,SP_Classification
37,408.668054,10835.98,RESIDENTIAL ONLY,RESIDENTIAL ONLY,31,0.169860199,0.435993841,7.172429272,2.566780474,4724.420539,1840.601718,35.03152612,-3.035089185,18.04340576,1.287740828,0.847245844,0.267739714,21.1016763,55.4391604,4.93843563,51.6551732,6.267184863,18.83721167,671.1701221,2
38,185.3495068,1990.9959,RESIDENTIAL ONLY,RESIDENTIAL ONLY,2,0.095947444,0.153695541,4.485242149,1.601872196,306.0071914,191.0309675,26.08344697,-65.81447679,18.91432521,0.563970829,0.142216045,0.050791445,37.17448003,59.94925904,2.568364852,1.873288047,10.24508855,16.92267599,569.5137429,1
41,314.7612205,6374.5458,RESIDENTIAL ONLY,RESIDENTIAL ONLY,12,0.182783618,0.563934893,8.63872657,3.085259489,3594.828803,1165.162548,37.7113846,-3.688123593,17.68050371,1.299096417,0.413558541,0.147699479,21.9098719,76.62168616,3.546303186,46.46113989,7.490042216,26.54090832,682.1022028,1
42,453.1082004,10405.095,RESIDENTIAL ONLY,RESIDENTIAL ONLY,34,0.163690525,0.448709248,7.675373399,2.741204785,4668.862349,1703.215462,36.87433717,21.66166315,16.47898851,1.547322263,0.802512052,0.286611447,5.710341776,22.14370333,3.317400718,33.54340693,2.297489721,11.01492395,661.6729013,1
44,415.3287288,9325.6694,RESIDENTIAL ONLY,RESIDENTIAL ONLY,39,0.193903041,0.491392186,7.092717382,2.534215979,4582.561077,1808.275656,38.217472,11.1286318,17.92794246,1.336566692,1.738155891,0.61789444,31.07612122,95.92628666,5.052397192,45.50447877,9.656361442,36.02657242,676.9040745,1
45,197.2375496,2443.535,RESIDENTIAL ONLY,RESIDENTIAL ONLY,8,0.184175242,0.493920144,7.509024536,2.681794477,1206.911159,450.03865,27.8978871,73.14536767,19.80386964,1.583171319,0.685664457,0.244880163,7.56402984,31.91767397,2.379493678,0.312604055,1.194875612,10.62724228,710.1067394,1
46,530.7827463,13234.5857,RESIDENTIAL ONLY,RESIDENTIAL ONLY,26,0.167169575,0.470126999,7.874373033,2.812276083,6221.936056,2212.420073,37.85831319,10.60989579,17.58949401,1.270349663,0.49019503,0.175069654,9.815558351,33.37923019,2.344161533,45.87935952,3.947762761,11.918979,662.9751988,1
47,357.9169097,8372.03805,RESIDENTIAL ONLY,RESIDENTIAL ONLY,26,0.162945185,0.410117966,7.04734116,2.516907557,3433.523218,1364.183287,35.1013767,9.781274037,18.32129054,1.295056895,1.470322793,0.525115283,28.19433949,89.77658729,2.943605664,44.13373211,8.736170315,33.43830436,694.1833586,1
48,168.1342644,2055.955,RESIDENTIAL ONLY,RESIDENTIAL ONLY,6,0.126315022,0.35551877,7.880713982,2.814540708,730.9305937,259.6980015,37.76054237,74.04176085,18.6943695,1.847378146,0.455922523,0.162829472,1.22806311,6.944058511,2.304185453,0.160734875,1.410292411,5.20549509,676.9882268,2
49,262.3162354,4506.1504,RESIDENTIAL ONLY,RESIDENTIAL ONLY,21,0.183700915,0.511158642,7.791165322,2.782559043,2303.357721,827.78395,35.87024131,10.04657214,17.04215439,1.80614667,0.737742239,0.263479371,5.680751571,20.7050477,3.368532475,47.93422425,1.880730397,9.71093463,679.2963924,1
50,491.3090264,14319.88265,RESIDENTIAL ONLY,RESIDENTIAL ONLY,21,0.203869745,0.869308856,11.9393135,4.264040536,12448.4008,2919.39083,34.50059974,-20.73099019,18.33721631,1.447351746,0.677826497,0.242080892,27.82674438,141.1176459,2.598648398,39.82440845,5.56242892,32.52954558,697.9431782,1
51,423.8873701,11129.62315,RESIDENTIAL ONLY,RESIDENTIAL ONLY,46,0.215493783,0.636943519,8.276070993,2.95573964,7088.941329,2398.364598,31.9316564,13.32193345,17.22516417,1.677638981,0.760121065,0.271471809,15.38419271,52.06441037,1.914867478,43.81179324,4.890139457,18.45142103,689.0438839,1
52,492.6518354,13043.65,OFFICE ONLY,RESIDENTIAL ONLY,32,0.194513087,0.642976035,9.237474285,3.305566972,8386.754358,2537.160628,32.87406153,-60.51191975,18.77994234,1.453092438,2.258715577,0.786178691,74.22221006,251.7511159,4.289784732,39.78420607,16.7410351,62.84358842,657.1459167,0
53,331.0618954,6021.85745,RESIDENTIAL ONLY,RESIDENTIAL ONLY,19,0.157692525,0.448257349,7.959290151,2.842603625,2699.341859,949.6019035,36.21002062,5.637976846,17.38257241,1.666569774,0.356171798,0.127204213,14.4670165,41.00436505,1.460732204,30.20827789,3.642725815,10.39944446,696.3604135,1
54,306.5062756,6128.0537,RESIDENTIAL ONLY,RESIDENTIAL ONLY,25,0.179789322,0.491522574,7.628020411,2.733880785,3012.076727,1101.758623,34.35420752,-3.531114037,18.70467756,1.598956867,2.074568743,0.715987282,24.60624045,85.44721463,8.092442439,57.37150067,8.990124049,37.34727394,654.2053533,1
55,143.2749419,1264.182,RESIDENTIAL ONLY,RESIDENTIAL ONLY,5,0.152307975,0.476386845,8.741825937,3.127786686,602.2396744,192.545,37.19692245,-65.90525704,16.69069755,1.953634059,2.028181301,0.702753144,9.419760201,41.58073085,4.015776528,0.269466928,3.585052414,22.85114211,654.1589918,1
56,327.1501789,6171,RESIDENTIAL ONLY,RESIDENTIAL ONLY,28,0.215699553,0.845932871,10.98107063,3.92181094,5220.251747,1331.08194,40.23357498,45.92625295,18.32081853,2.433942038,0.318501468,0.113750524,2.141215208,9.727868656,1.576894509,41.42421243,0.711206509,4.12568665,669.2361549,1
58,433.046487,9924.53,RESIDENTIAL ONLY,RESIDENTIAL ONLY,17,0.244047883,0.77773444,8.92307032,3.186810829,7718.648779,2422.060541,33.03871374,1.470307468,17.73015627,1.121759551,0.342786776,0.122423849,16.49141394,51.97122721,0.906727628,35.00501521,3.685244979,12.36253366,707.7411451,1
59,401.7519171,10061.3221,RESIDENTIAL ONLY,RESIDENTIAL ONLY,16,0.220093678,0.97878561,12.45196916,4.447131842,9847.877289,2214.43339,34.56622916,27.72368182,18.4311439,1.527804275,0.926284572,0.330815918,29.99135078,163.4775477,3.13967262,46.32787074,5.656115055,37.01967019,665.262786,1
60,434.5865365,10410,RESIDENTIAL ONLY,RESIDENTIAL ONLY,15,0.217326862,0.752181504,9.690970493,3.46106089,7830.209455,2262.372636,34.66190642,7.713412364,18.0242036,1.193880614,0.595332021,0.212618579,16.24999755,69.02670277,0.845222764,40.92406272,3.423812026,17.04493961,706.3481924,1
61,456.1421223,10923.965,RESIDENTIAL ONLY,RESIDENTIAL ONLY,37,0.213946749,0.628170416,8.186137258,2.936106375,6862.111642,2337.146802,32.40571602,-67.7981953,16.32929643,1.371324485,1.524251238,0.49294323,15.06301182,54.51848678,3.321482856,38.29611932,4.655609225,22.4142994,699.2316443,1
62,266.1150677,3206.6225,RESIDENTIAL ONLY,RESIDENTIAL ONLY,10,0.137707678,0.361311632,7.332898568,2.623758029,1158.59001,441.5765395,33.1497811,18.68318305,17.77692381,1.551366547,1.44104506,0.496558876,19.31197117,54.25100054,4.0814803,30.40856243,8.066030777,25.05280083,673.1552323,1
63,406.4013115,8640.78325,RESIDENTIAL ONLY,RESIDENTIAL ONLY,24,0.197568763,0.52953887,7.501988622,2.680276273,4575.630597,1707.148857,33.42518471,-21.76641372,17.73628859,1.298615943,0.838715089,0.293410686,19.52168,49.73052049,2.063065312,36.63399365,5.950618755,16.63594221,702.7753538,1
64,420.4506744,10658.32,RESIDENTIAL ONLY,RESIDENTIAL ONLY,17,0.198506803,0.609207471,8.591611827,3.068950099,6493.128177,2115.749024,33.4834434,-4.392579027,17.73398711,1.108837846,0.841941882,0.296821983,28.1214463,96.15440683,2.265870668,40.36959869,6.725411486,26.56679704,711.8573979,2
